structure_name,reaction,energy_ts,energy_first,energy_last,e_affinity,en_pauling,ion_pot,d_radius,d_filling,d_center,d_width,d_skewness,d_kurtosis,sp_filling,d_density,sp_density,work_func,n_coord
"Rh_100_cCOOH[ss]=CO[s]+OH[s]_top[Rh.8]-top[Rh.8]_4fh[Rh.8,Rh.8,Rh.8,Rh.8]_top[Rh.8]-00",cCOOH[ss]=CO[s]+OH[s],-0.6221861491894742,-0.8031218515343426,-1.4329959989872805,1.1370000000000002,2.28,7.4589,1.25,8.133667078266665,-1.5266091359964202,1.7229202145403166,0.3420610242073742,4.103753548034622,0.016344376855555558,2.870277777777778,0.002960722222222222,5.315359645609029,9.0
"Rh+Pt1_100_cCOOH[ss]=CO[s]+OH[s]_top[Pt.8]-top[Rh.8]_brg[Pt.8,Rh.8]-brg[Pt.8,Rh.8]-00",cCOOH[ss]=CO[s]+OH[s],-0.5658904219117176,-0.8585930738800016,-1.4205789003053724,1.6325000000000003,2.24,8.208865,1.275,8.587235934191375,-1.8529239448504797,1.74150468751305,0.5144884636112637,4.179551258046242,0.5857152686481245,2.149025,0.22282536875000003,5.3479136673461785,8.0
"Rh+Pt1_100_cCOOH[ss]=CO[s]+OH[s]_top[Pt.8]-top[Rh.8]_4fh[Pt.8,Rh.8,Rh.8,Rh.8]-top[Pt.8]-00",cCOOH[ss]=CO[s]+OH[s],-0.4551946484016298,-0.8394342187848451,-1.056748684156446,1.6325000000000003,2.24,8.208865,1.275,8.587235934191375,-1.8529239448504797,1.74150468751305,0.5144884636112637,4.179551258046242,0.5857152686481245,2.149025,0.22282536875000003,5.3479136673461785,8.0
"Cu_100_cCOOH[ss]=CO[s]+OH[s]_top[Cu.8]-top[Cu.8]_brg[Cu.8,Cu.8]_brg[Cu.8,Cu.8]-00",cCOOH[ss]=CO[s]+OH[s],-0.2804654545498124,-0.31696993418427155,-0.7063566738825102,1.235,1.9000000000000001,7.72638,1.18,9.426671157181223,-2.2026123316604815,1.4309933698045048,3.4962289279061567,23.07847506594366,0.8113498030844446,0.10492166666666665,0.2588393333333333,4.784031224920167,8.0
"Cu_100_cCOOH[ss]=CO[s]+OH[s]_top[Cu.8]-top[Cu.8]_4fh[Cu.8,Cu.8,Cu.8,Cu.8]_top[Cu.8]-00",cCOOH[ss]=CO[s]+OH[s],-0.19483952899736323,-0.2593186718177094,-0.775202699575857,1.235,1.9000000000000001,7.72638,1.18,9.426671157181223,-2.2026123316604815,1.4309933698045048,3.4962289279061567,23.07847506594366,0.8113498030844446,0.10492166666666665,0.2588393333333333,4.784031224920167,8.0
"Co_100_cCOOH[ss]=CO[s]+OH[s]_top[Co.8]-top[Co.8]_4fh[Co.8,Co.8,Co.8,Co.8]_top[Co.8]-00",cCOOH[ss]=CO[s]+OH[s],-0.8106826705943604,-0.8417071856847542,-1.7249961890947816,0.66225646,1.8799999999999994,7.881010000000002,1.16,7.593102060784645,-1.466255522778333,1.74735345525792,0.5083365776578999,3.572352410921682,0.8677791509903333,1.0887022222222222,0.19196534444444444,4.682568563774651,8.0
"Pd_100_cCOOH[ss]=CO[s]+OH[s]_top[Pd.8]-top[Pd.8]_brg[Pd.8,Pd.8]_brg[Pd.8,Pd.8]-00",cCOOH[ss]=CO[s]+OH[s],-0.41337469705013064,-0.7630397552156865,-0.8738183873820162,0.5620000000000002,2.1999999999999997,8.33686,1.28,9.148879053457225,-1.4667224610166432,1.4312186382676646,1.460336410847331,10.191348387455058,0.008103447449999997,2.299833333333334,0.0010565944444444445,5.34502139937185,8.0
"Cu_111_cCOOH[ss]=CO[s]+OH[s]_brg[Cu.9,Cu.9]-top[Cu.9]_3fh[Cu.9,Cu.9,Cu.9]_3fh[Cu.9,Cu.9,Cu.9]-00",cCOOH[ss]=CO[s]+OH[s],0.005687689435035281,-0.15560098557307356,-0.4681091711854606,1.235,1.9000000000000001,7.72638,1.18,9.620286738422221,-2.278896074335635,1.5201788097891833,3.5865293857318727,22.7305842468166,0.8961955947777778,0.13006500000000001,0.21907765,4.950431811220809,8.0
"Cu_111_cCOOH[ss]=CO[s]+OH[s]_top[Cu.9]-top[Cu.9]_brg[Cu.9,Cu.9]_brg[Cu.9,Cu.9]-00",cCOOH[ss]=CO[s]+OH[s],-0.001412440894455358,-0.1848158075763422,-0.4915619826524562,1.235,1.9000000000000001,7.72638,1.18,9.620286738422221,-2.278896074335635,1.5201788097891833,3.5865293857318727,22.7305842468166,0.8961955947777778,0.13006500000000001,0.21907765,4.950431811220809,9.0
"Cu+Zn1_111_cCOOH[ss]=CO[s]+OH[s]_top[Zn.9]-top[Cu.9]_brg[Cu.9,Zn.9]-brg[Cu.9,Zn.9]-00",cCOOH[ss]=CO[s]+OH[s],-0.24417907416045637,-0.3841568817906591,-0.6870101962877015,0.6175,1.775,8.5602895,1.1949999999999998,9.634473783026081,-4.7033234513722775,1.2760983311138072,6.218634036119928,61.16864265047881,1.0892753124928873,0.0379179375,0.18326509375,4.922073978003959,9.0
